,Unnamed: 0,Store,DayOfWeek,Sales,Open,Promo,SchoolHoliday,CompetitionDistance,0 holiday,a holiday,b holiday,c holiday,Year,Month,Day,WeekOfYear,CompetitionOpenTime,Promo2Open,IsPromo2Month,a ass,b ass,c ass,type a,type c,type d
0,0,1,5,5263,1,1,1,1270.0,0,0,0,0,2015,7,31,31,82.0,0.0,0,1,0,0,0,1,0
1115,1115,1,4,5020,1,1,1,1270.0,0,0,0,0,2015,7,30,31,82.0,0.0,0,1,0,0,0,1,0
2230,2230,1,3,4782,1,1,1,1270.0,0,0,0,0,2015,7,29,31,82.0,0.0,0,1,0,0,0,1,0
3345,3345,1,2,5011,1,1,1,1270.0,0,0,0,0,2015,7,28,31,82.0,0.0,0,1,0,0,0,1,0
4460,4460,1,1,6102,1,1,1,1270.0,0,0,0,0,2015,7,27,31,82.0,0.0,0,1,0,0,0,1,0
5575,5575,1,7,0,0,0,0,1270.0,0,0,0,0,2015,7,26,30,82.0,0.0,0,1,0,0,0,1,0
6690,6690,1,6,4364,1,0,0,1270.0,0,0,0,0,2015,7,25,30,82.0,0.0,0,1,0,0,0,1,0
7805,7805,1,5,3706,1,0,0,1270.0,0,0,0,0,2015,7,24,30,82.0,0.0,0,1,0,0,0,1,0
8920,8920,1,4,3769,1,0,0,1270.0,0,0,0,0,2015,7,23,30,82.0,0.0,0,1,0,0,0,1,0
10035,10035,1,3,3464,1,0,0,1270.0,0,0,0,0,2015,7,22,30,82.0,0.0,0,1,0,0,0,1,0
11150,11150,1,2,3558,1,0,0,1270.0,0,0,0,0,2015,7,21,30,82.0,0.0,0,1,0,0,0,1,0
12265,12265,1,1,4395,1,0,0,1270.0,0,0,0,0,2015,7,20,30,82.0,0.0,0,1,0,0,0,1,0
13380,13380,1,7,0,0,0,0,1270.0,0,0,0,0,2015,7,19,29,82.0,0.0,0,1,0,0,0,1,0
14495,14495,1,6,4406,1,0,0,1270.0,0,0,0,0,2015,7,18,29,82.0,0.0,0,1,0,0,0,1,0
15610,15610,1,5,4852,1,1,0,1270.0,0,0,0,0,2015,7,17,29,82.0,0.0,0,1,0,0,0,1,0
16725,16725,1,4,4427,1,1,0,1270.0,0,0,0,0,2015,7,16,29,82.0,0.0,0,1,0,0,0,1,0
17840,17840,1,3,4767,1,1,0,1270.0,0,0,0,0,2015,7,15,29,82.0,0.0,0,1,0,0,0,1,0
18955,18955,1,2,5042,1,1,0,1270.0,0,0,0,0,2015,7,14,29,82.0,0.0,0,1,0,0,0,1,0
20070,20070,1,1,5054,1,1,0,1270.0,0,0,0,0,2015,7,13,29,82.0,0.0,0,1,0,0,0,1,0
21185,21185,1,7,0,0,0,0,1270.0,0,0,0,0,2015,7,12,28,82.0,0.0,0,1,0,0,0,1,0
22300,22300,1,6,3530,1,0,0,1270.0,0,0,0,0,2015,7,11,28,82.0,0.0,0,1,0,0,0,1,0
23415,23415,1,5,3808,1,0,0,1270.0,0,0,0,0,2015,7,10,28,82.0,0.0,0,1,0,0,0,1,0
24530,24530,1,4,3897,1,0,0,1270.0,0,0,0,0,2015,7,9,28,82.0,0.0,0,1,0,0,0,1,0
25645,25645,1,3,3797,1,0,0,1270.0,0,0,0,0,2015,7,8,28,82.0,0.0,0,1,0,0,0,1,0
26760,26760,1,2,3650,1,0,0,1270.0,0,0,0,0,2015,7,7,28,82.0,0.0,0,1,0,0,0,1,0
27875,27875,1,1,4359,1,0,0,1270.0,0,0,0,0,2015,7,6,28,82.0,0.0,0,1,0,0,0,1,0
28990,28990,1,7,0,0,0,0,1270.0,0,0,0,0,2015,7,5,27,82.0,0.0,0,1,0,0,0,1,0
30105,30105,1,6,4797,1,0,0,1270.0,0,0,0,0,2015,7,4,27,82.0,0.0,0,1,0,0,0,1,0
31220,31220,1,5,4665,1,1,0,1270.0,0,0,0,0,2015,7,3,27,82.0,0.0,0,1,0,0,0,1,0
32335,32335,1,4,5558,1,1,0,1270.0,0,0,0,0,2015,7,2,27,82.0,0.0,0,1,0,0,0,1,0
33450,33450,1,3,5223,1,1,0,1270.0,1,0,0,0,2015,7,1,27,82.0,0.0,0,1,0,0,0,1,0
34565,34565,1,2,5735,1,1,0,1270.0,1,0,0,0,2015,6,30,27,81.0,0.0,0,1,0,0,0,1,0
35680,35680,1,1,5197,1,1,0,1270.0,1,0,0,0,2015,6,29,27,81.0,0.0,0,1,0,0,0,1,0
36795,36795,1,7,0,0,0,0,1270.0,1,0,0,0,2015,6,28,26,81.0,0.0,0,1,0,0,0,1,0
37910,37910,1,6,4019,1,0,0,1270.0,1,0,0,0,2015,6,27,26,81.0,0.0,0,1,0,0,0,1,0
39025,39025,1,5,3317,1,0,0,1270.0,1,0,0,0,2015,6,26,26,81.0,0.0,0,1,0,0,0,1,0
40140,40140,1,4,3533,1,0,0,1270.0,1,0,0,0,2015,6,25,26,81.0,0.0,0,1,0,0,0,1,0
41255,41255,1,3,3346,1,0,0,1270.0,1,0,0,0,2015,6,24,26,81.0,0.0,0,1,0,0,0,1,0
42370,42370,1,2,3762,1,0,0,1270.0,1,0,0,0,2015,6,23,26,81.0,0.0,0,1,0,0,0,1,0
